[2025-03-29 17:08:10,281] INFO - Starting fold 1
[2025-03-29 17:08:10,281] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:12,719] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:13,865] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:26,072] INFO - Fold 1 Epoch 370: Test Loss 0.6645, Test Acc 0.6000, Test F1 0.5835
[2025-03-29 17:08:26,220] INFO - Fold 1 Epoch 375: Train Loss 0.5598, Train Acc 0.6953, Train F1 0.6944
[2025-03-29 17:08:26,220] INFO - Fold 1 Epoch 375: Test Loss 0.5571, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:26,362] INFO - Fold 1 Epoch 380: Train Loss 0.5594, Train Acc 0.6989, Train F1 0.6956
[2025-03-29 17:08:26,362] INFO - Fold 1 Epoch 380: Test Loss 0.5686, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:26,506] INFO - Fold 1 Epoch 385: Train Loss 0.5636, Train Acc 0.6846, Train F1 0.6769
[2025-03-29 17:08:26,506] INFO - Fold 1 Epoch 385: Test Loss 0.5966, Test Acc 0.6857, Test F1 0.6860
[2025-03-29 17:08:26,658] INFO - Fold 1 Epoch 390: Train Loss 0.5665, Train Acc 0.6953, Train F1 0.6953
[2025-03-29 17:08:26,659] INFO - Fold 1 Epoch 390: Test Loss 0.5617, Test Acc 0.6286, Test F1 0.6211
[2025-03-29 17:08:26,822] INFO - Fold 1 Epoch 395: Train Loss 0.5817, Train Acc 0.6703, Train F1 0.6703
[2025-03-29 17:08:26,822] INFO - Fold 1 Epoch 395: Test Loss 0.5925, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:26,969] INFO - Fold 1 Epoch 400: Train Loss 0.5702, Train Acc 0.6882, Train F1 0.6794
[2025-03-29 17:08:26,969] INFO - Fold 1 Epoch 400: Test Loss 0.6248, Test Acc 0.7143, Test F1 0.7143
[2025-03-29 17:08:27,117] INFO - Fold 1 Epoch 405: Train Loss 0.5657, Train Acc 0.6953, Train F1 0.6953
[2025-03-29 17:08:27,117] INFO - Fold 1 Epoch 405: Test Loss 0.5694, Test Acc 0.6143, Test F1 0.6081
[2025-03-29 17:08:27,266] INFO - Fold 1 Epoch 410: Train Loss 0.6138, Train Acc 0.6667, Train F1 0.6665
[2025-03-29 17:08:27,266] INFO - Fold 1 Epoch 410: Test Loss 0.6534, Test Acc 0.6000, Test F1 0.5835
[2025-03-29 17:08:27,406] INFO - Fold 1 Epoch 415: Train Loss 0.5702, Train Acc 0.6882, Train F1 0.6730
[2025-03-29 17:08:27,406] INFO - Fold 1 Epoch 415: Test Loss 0.6077, Test Acc 0.7143, Test F1 0.7108
[2025-03-29 17:08:27,543] INFO - Fold 1 Epoch 420: Train Loss 0.5550, Train Acc 0.7025, Train F1 0.6995
[2025-03-29 17:08:27,543] INFO - Fold 1 Epoch 420: Test Loss 0.5575, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:27,664] INFO - Fold 1 Epoch 425: Train Loss 0.5551, Train Acc 0.7025, Train F1 0.6999
[2025-03-29 17:08:27,664] INFO - Fold 1 Epoch 425: Test Loss 0.5644, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:27,804] INFO - Fold 1 Epoch 430: Train Loss 0.5590, Train Acc 0.7025, Train F1 0.7023
[2025-03-29 17:08:27,804] INFO - Fold 1 Epoch 430: Test Loss 0.5640, Test Acc 0.6286, Test F1 0.6239
[2025-03-29 17:08:27,943] INFO - Fold 1 Epoch 435: Train Loss 0.5605, Train Acc 0.6846, Train F1 0.6831
[2025-03-29 17:08:27,943] INFO - Fold 1 Epoch 435: Test Loss 0.5910, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:28,068] INFO - Fold 1 Epoch 440: Train Loss 0.5487, Train Acc 0.7025, Train F1 0.6999
[2025-03-29 17:08:28,068] INFO - Fold 1 Epoch 440: Test Loss 0.5467, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:28,208] INFO - Fold 1 Epoch 445: Train Loss 0.5562, Train Acc 0.7025, Train F1 0.7018
[2025-03-29 17:08:28,209] INFO - Fold 1 Epoch 445: Test Loss 0.5602, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:28,360] INFO - Fold 1 Epoch 450: Train Loss 0.6513, Train Acc 0.6703, Train F1 0.6702
[2025-03-29 17:08:28,361] INFO - Fold 1 Epoch 450: Test Loss 0.7592, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:28,516] INFO - Fold 1 Epoch 455: Train Loss 0.5902, Train Acc 0.6738, Train F1 0.6738
[2025-03-29 17:08:28,516] INFO - Fold 1 Epoch 455: Test Loss 0.6191, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:28,667] INFO - Fold 1 Epoch 460: Train Loss 0.5467, Train Acc 0.7025, Train F1 0.6995
[2025-03-29 17:08:28,668] INFO - Fold 1 Epoch 460: Test Loss 0.5413, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:28,819] INFO - Fold 1 Epoch 465: Train Loss 0.5594, Train Acc 0.6989, Train F1 0.6935
[2025-03-29 17:08:28,819] INFO - Fold 1 Epoch 465: Test Loss 0.6127, Test Acc 0.7000, Test F1 0.6997
[2025-03-29 17:08:28,973] INFO - Fold 1 Epoch 470: Train Loss 0.5518, Train Acc 0.6953, Train F1 0.6907
